n,rt_qs,rt_ms,c_qs,c_ms
100,15,78,609,316
100,14,76,641,316
100,19,81,698,316
100,18,94,589,316
100,14,75,679,316
100,16,72,691,316
100,15,75,681,316
100,13,73,584,316
100,15,76,675,316
100,16,91,565,316
100,15,76,660,316
100,14,75,653,316
100,14,84,643,316
100,19,121,725,316
100,14,75,619,316
100,14,92,585,316
100,18,90,672,316
100,15,74,612,316
100,15,83,596,316
100,19,93,688,316
100,20,93,719,316
100,15,73,665,316
100,18,73,593,316
100,14,73,770,316
100,17,83,609,316
100,15,74,799,316
100,14,71,619,316
100,16,78,640,316
100,15,74,647,316
100,17,74,811,316
100,14,73,627,316
100,14,73,641,316
100,14,75,617,316
100,15,76,699,316
100,14,74,633,316
100,13,74,574,316
100,16,76,657,316
100,17,93,625,316
100,15,74,607,316
100,20,94,829,316
100,15,79,619,316
100,14,76,643,316
100,13,74,692,316
100,20,79,702,316
100,15,75,724,316
100,16,74,555,316
100,14,89,628,316
100,18,91,612,316
100,16,77,685,316
100,16,76,754,316
100,17,165,641,316
100,15,82,670,316
100,14,74,620,316
100,15,74,708,316
100,15,76,573,316
100,15,72,649,316
100,14,71,567,316
100,14,73,644,316
100,16,75,610,316
100,14,75,595,316
100,15,74,639,316
100,15,74,634,316
100,15,74,586,316
100,16,75,674,316
100,17,87,694,316
100,14,73,662,316
100,15,76,763,316
100,19,92,677,316
100,14,75,691,316
100,14,77,642,316
100,19,94,672,316
100,15,74,727,316
100,18,99,600,316
100,14,73,633,316
100,13,72,638,316
100,17,92,645,316
100,14,76,564,316
100,15,74,675,316
100,19,85,630,316
100,17,88,603,316
100,17,94,610,316
100,15,75,704,316
100,14,79,675,316
100,17,86,575,316
100,14,75,673,316
100,18,91,670,316
100,15,75,628,316
100,14,75,630,316
100,16,76,704,316
100,14,74,692,316
100,14,75,668,316
100,14,72,641,316
100,18,94,601,316
100,15,79,630,316
100,16,77,644,316
100,16,75,689,316
100,21,87,741,316
100,14,76,678,316
100,15,84,690,316
100,23,80,832,316
100,15,75,672,316
100,22,91,781,316
100,14,75,651,316
100,15,104,672,316
100,13,78,591,316
100,14,73,607,316
100,13,75,569,316
100,17,78,584,316
100,15,78,677,316
100,14,78,556,316
100,20,155,638,316
100,17,79,597,316
100,18,96,673,316
100,20,82,664,316
100,18,86,607,316
100,17,87,633,316
100,18,95,628,316
100,19,85,757,316
100,14,76,627,316
100,19,97,659,316
100,18,95,699,316
100,19,98,793,316
100,19,88,753,316
100,19,109,588,316
100,19,83,664,316
100,18,87,743,316
100,16,77,723,316
100,14,83,742,316
100,18,84,608,316
100,20,90,660,316
100,17,84,726,316
100,15,76,639,316
100,20,75,663,316
100,14,75,652,316
100,14,75,603,316
100,15,75,738,316
100,20,76,792,316
100,14,78,658,316
100,15,74,623,316
100,14,76,667,316
100,18,94,705,316
100,19,95,606,316
100,15,74,605,316
100,14,76,697,316
100,19,91,693,316
100,14,75,627,316
100,14,78,633,316
100,16,73,707,316
100,14,76,642,316
100,15,79,667,316
100,15,82,588,316
100,16,80,759,316
100,16,77,652,316
100,15,73,614,316
100,19,80,604,316
100,15,73,721,316
100,18,75,767,316
100,14,74,596,316
100,20,79,700,316
100,15,75,589,316
100,15,75,576,316
100,17,87,582,316
100,15,75,708,316
100,15,77,753,316
100,14,79,580,316
100,19,92,642,316
100,14,74,572,316
100,14,74,590,316
100,20,84,763,316
100,19,83,701,316
100,19,95,769,316
100,17,81,612,316
100,14,78,587,316
100,15,74,610,316
100,14,74,671,316
100,14,80,629,316
100,19,94,637,316
100,20,102,644,316
100,15,76,665,316
100,16,72,699,316
100,14,75,633,316
100,14,75,694,316
100,14,75,606,316
100,15,74,580,316
100,14,75,587,316
100,18,79,610,316
100,14,73,563,316
100,15,74,574,316
100,17,83,600,316
100,20,90,646,316
100,14,77,740,316
100,16,80,573,316
100,19,89,613,316
100,14,74,610,316
100,13,73,638,316
100,14,75,645,316
100,15,74,683,316
100,15,112,609,316
100,15,79,665,316
100,19,86,617,316
100,14,75,705,316
100,15,75,679,316
100,21,79,699,316
100,16,74,797,316
100,18,83,655,316
100,14,75,652,316
100,19,73,842,316
100,18,79,696,316
100,14,75,601,316
100,15,76,655,316
100,14,75,676,316
100,15,75,635,316
100,14,74,564,316
100,18,80,673,316
100,14,74,613,316
100,16,80,709,316
100,15,75,663,316
100,14,75,580,316
100,16,76,563,316
100,17,85,596,316
100,18,77,596,316
100,15,77,680,316
100,18,81,656,316
100,13,73,598,316
100,13,72,621,316
100,14,100,627,316
100,15,74,712,316
100,14,74,626,316
100,19,96,660,316
100,14,75,642,316
100,19,95,599,316
100,13,76,604,316
100,20,104,609,316
100,13,74,585,316
100,15,74,644,316
100,20,94,716,316
100,16,75,585,316
100,15,82,692,316
100,18,88,736,316
100,18,95,711,316
100,14,74,657,316
100,14,73,620,316
100,15,77,652,316
100,16,75,740,316
100,13,73,633,316
100,20,102,694,316
100,14,77,630,316
100,14,76,636,316
100,14,79,622,316
100,14,75,582,316
100,14,82,621,316
100,18,85,657,316
100,14,74,592,316
100,17,90,601,316
100,14,77,614,316
100,14,78,645,316
100,15,75,655,316
100,14,77,637,316
100,15,74,650,316
100,21,89,712,316
100,15,75,659,316
100,15,77,592,316
100,18,86,704,316
100,19,82,593,316
100,14,80,632,316
100,14,74,575,316
100,15,76,600,316
100,14,76,681,316
100,14,76,658,316
100,16,73,660,316
100,18,95,660,316
100,15,78,632,316
100,17,85,665,316
100,20,74,643,316
100,16,79,640,316
100,14,77,617,316
100,19,79,614,316
100,17,74,788,316
100,15,77,749,316
100,15,76,582,316
100,18,83,660,316
100,19,85,738,316
100,21,81,837,316
100,15,74,657,316
100,14,72,590,316
100,23,79,642,316
100,18,95,624,316
100,17,77,620,316
100,17,83,593,316
100,13,76,590,316
100,20,84,723,316
100,15,93,741,316
100,15,75,698,316
100,15,77,626,316
100,15,73,602,316
100,15,80,789,316
100,14,75,629,316
100,18,80,637,316
100,19,93,623,316
100,15,79,632,316
100,19,80,651,316
100,20,95,600,316
100,18,95,593,316
100,15,79,629,316
100,18,92,563,316
100,17,76,672,316
100,19,95,624,316
100,19,94,622,316
100,18,81,637,316
100,18,86,626,316
100,15,87,660,316
100,17,84,627,316
100,15,80,670,316
100,19,94,777,316
100,16,84,733,316
100,16,93,609,316
100,19,93,703,316
100,14,76,662,316
100,17,87,617,316
100,19,91,773,316
100,14,75,574,316
100,14,84,617,316
100,14,74,596,316
100,16,73,555,316
100,20,91,767,316
100,14,74,586,316
100,25,88,709,316
100,15,75,674,316
100,15,78,589,316
100,15,71,675,316
100,20,92,639,316
100,16,76,823,316
100,20,72,679,316
100,19,87,664,316
100,16,73,636,316
100,17,74,606,316
100,14,74,711,316
100,14,75,714,316
100,16,75,707,316
100,17,76,590,316
100,14,72,650,316
100,18,77,625,316
100,18,85,721,316
100,15,75,620,316
100,17,84,777,316
100,20,92,651,316
100,18,93,604,316
100,14,78,681,316
100,18,92,677,316
100,14,74,582,316
